,닉네임,댓글,날짜
446,로빈훟(220.126),힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응? 힛겔 8등 게시물이냐? 응?,2004.04.14 10:44:20
447,마지막(221.150),------------------------------------절취선---------------------------,2004.04.27 08:06:56
448,메롱(143.248),-_-;,2004.05.02 04:13:22
449,형가(211.224),훗,2004.05.04 13:20:00
450,ㅎㅎ(221.164),합성에올인,2004.05.21 07:41:35
451,내가꼴지(211.194),밑에쓰는사람 바보 븅딱~!,2004.05.30 16:39:15
452,바보븅딱(218.50),쓰면 안돼?,2004.05.31 12:27:20
453,내가꼴지(211.229),위에 바보붕딱,2004.05.31 16:08:21
454,웁스(210.218),합성입니다. 불이났으면 당연히 근처에 붉은 광원이 비쳐져야하는데 그런건 찾아볼수도없으니..,2004.05.31 18:39:35
455,음..(61.39),↑등신,2004.06.06 12:39:38
456,합성아님(210.217),실제 일어난 일이며 현대 산타페 믿을 게 전혀 못됩니다.,2004.06.09 00:20:37
457,아... 병쉿들(210.221),"드럽게 많구만, 개허졉들이... 참나... 디카 중고로 쌔우러 왔다가 아는 척 개소리 씨부리고들 꺼지는구만 ㅋㅋ // 일단 태양광이 몇 룩스인지 아니? 바닥은 주변 밝기 땜시 늬들 눈깔이 착시를 하는 거고, 불이 없는 곳보다 밝은 거 맞어 븅삼들아~ 받아서 조도비교나 해 봐라 븡사미들아~ // 실사를 합성이라고 우기는 것들은 알면서 한 번 지랄해 보는 거지? 에라이... 꼴통쉑히들아~~~",2004.06.18 04:26:18
458,합성아님(211.119),실제 일어난 일입니다.차주는 포스코 광양제철소에 다니고 장소는 백운산수련관 주차장이랍니다.이사건은 회사에서도 난리였답니다.,2004.06.21 14:45:51
459,합성맞음(220.126),저렇게 흰연기가 날리가 없음.. 새까만 연기가 나지,2004.06.22 10:29:28
460,ㄳ ㅅㅎ(221.142),바보들아 실제다 시발놈들아!!,2004.08.06 01:15:58
461,박재영(211.114),헤드라이트가 확실히 탄듯..? 고로 실제인듯 싶군요,2004.08.23 23:18:52
462,합성100%(220.77),합성입니다. 1000배 확대해서 판독해 본 결과 합성으로 밝혀졌습니다.,2004.08.31 14:52:55
463,자(222.114),내가 마지막이다. 내가 마지막이라고. 젠쟝..,2004.09.04 12:37:11
464,지랄(211.211),내가마지막이란다,2004.09.05 01:33:59
465,끝(218.53),끝,2004.09.14 06:03:32
466,끝(211.228),까지 가보자하3,2004.09.22 06:50:08
467,대성고(211.45),ㅎㅎ 대성고 1-13반이 마지막이다 ㅎㅎ,2004.09.30 11:30:02
468,대성고(211.45),1-13반이 마지막의 영광을 가져 가겠다!,2004.09.30 11:31:38
469,랴햏햏(211.231),내가 끝이다!!↓ 모두 강아지들!,2004.10.01 04:14:35
470,강아지(210.105),왈왈,2004.10.01 13:15:00
471,라사클레어(218.238),아 진짜 병신들 많네... 진짜라고 하잖아! 명백한 근거도 나왔고 차주도 나왔고 목격자도 있고 보험금도 있잖아! 합성이라고 우기는 새끼들 도대체 무슨 근거로 씨불거리는건데? 성지순례중에 합성이라고 리플다는새끼들 어이가 없네.. 근거를 대라고 좆만한 것들아.. 뭔가 쫌 이상하면 합성이라고 찌질대냐? 응?,2004.10.10 15:09:38
472,궁뱅이(211.230),헉.. 아직도 리플을 달다니..... 진정 DC인이들이오....,2004.10.20 08:43:07
473,너검마즐(220.74),-_-;; 디씨인들 최고-_-;; -_-;; 신기하네 ㅋㅋㅋㅋ,2004.11.03 12:29:19
474,착각동호회(211.197),진짜네. 차문열고 트렁크 열고 한거 보니 불났구만,2004.11.05 18:03:06
475,불났네(61.254),아니네보다 지금까지 리플이 달린다는게 더 신기 하다..,2004.11.06 06:45:52
476,스코프(59.11),리플,2004.11.09 07:13:59
477,",.,.,.(61.76)",이게 마지막이길...ㅋㅋ,2004.11.09 19:15:53
478,훗훗(211.187),니가 마지막일거같으냐?,2004.11.11 03:11:30
479,콜라중독(61.32),찌질이들,2004.11.11 05:39:43
480,까꿍(210.220),그동안 즐거웠어연 \'0\',2004.11.20 23:46:57
481,쿠홧홧홧!(220.80),마지막은 제가 접수합니다. 핫핫핫핫!,2004.11.29 15:02:08
482,쀏돌이(220.121),오호호호!내가 마지막이군~,2004.12.01 08:42:15
483,임양 완전빠돌군!!(211.192),임수정 존내 X 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 이쁘정~,2004.12.06 04:29:07
484,하하(219.240),이게마지막리플이오,2005.01.03 15:05:03
485,위엣분(218.51),마지막 아니자나,2005.01.11 03:16:03
486,원래(218.48),이 그림 인기 많았소 디시에서는 이그림을 필수요소로 등극시키시오 ~ 글고 내가 마지막 이길~,2005.01.16 12:52:58
487,휴..(61.99),2001년도에선 실제사진이라고 하지만 2005년도에선 허접한 합성이잖아 ㅡㅡ;,2005.02.01 22:05:04
488,흠(203.234),마지막에 도전한다,2005.02.17 17:50:35
489,안 드로메다(222.119),나도 마지막에 도전한다,2005.02.18 19:55:59
490,파다기(220.88),도전은 계속된다.,2005.02.19 02:23:31
491,찌까니(211.170),==================== 리플 END 이제 그만~ ====================,2005.02.19 03:07:31
492,찌까니(211.170),"여기 보니, 그래픽프로그램이 포토샵만 있나? 포토샵이 얼마나 버그 많은데,  신문사에서 일하는데 포토샵처럼 후진 프로그램도 없드라 그래도 대중성때문에 사용하긴 하지만, 합성이라면 포샵말고 딴걸로 합성했겠지, 그리고 진짜 합성이라면 정말 대단한 녀석이겠구... 2001년도에 이정도의 실력자라면,,, 하지만 진짜일것 같다, 안그러니? 진짜라면 아까운 차 한대 버린거구 합성이라 해도 이정도 실력이면 진짜나 마찬가지 아닐까?",2005.02.19 03:10:50
493,찌까니(211.170),======================== 이제 리플 그만 달구 잠이나자자 ==============,2005.02.19 03:11:17
494,앵부미(211.198),내가마지막,2005.02.26 18:08:35
495,숙자(211.216),내가 마지막~! ^^*,2005.03.03 08:15:07
496,당근주스(222.97),그럴까?,2005.03.05 03:24:46
497,ㅇㅇ(220.77),내가 진짜 마지막 리플 ㅋㅋ,2005.03.05 13:03:51
498,fd(210.126),위에즐 내가마지막,2005.03.06 18:44:20
499,아씹(218.146),이 글을 쓰기 위해 4년을 기다려따...낵아 마지막이다 만쉐이~,2005.03.13 03:48:49
500,싼타러브(218.55),이사건때문에 현대에서 리콜했습니다. 고압분사로 인하여 연료호스가 빠질 수 있다고... 사진은 약간의 합성이 들어갔다고 하나 실제로 발생한 사건입니다.,2002.07.03 10:08:33
501,무지개(211.212),포샵경력3년으로 볼때 합성일수도 있지만 진짜일 가능성이 더 크죠....참 잼나는건 이거 합성인가요? 하고 물으면 80%가 네 라고 하시는군요....주체성의 상실....,2002.07.12 07:29:22
502,-0-(211.202),울아부지 번호랑 같다..--;,2002.07.14 14:40:57
503,토토샵(211.207),합성이라니깐,2002.07.14 20:00:43
504,합성아니구만(211.106),1.차량앞쪽도어의 연기에 쌓인 문짝 2.오른쪽 아래 연기 그림자 3.뒤쪽 흰차와 탄부분 사이의 연기와 윤곽;; 남는 의문점-누가 방화를 했을까?(전륜구동이라도 앞쪽엔 탈게 없음-타더라도 불꽃을 낼만한 연료가 없음 아마도 엔진오일 태워본 사람이면 알것임),2002.07.14 22:17:48
505,합성(218.48),포샵에서 찍어 문대기 손가락툴과 불이미지와 약간의 필터만 사용하면 가능하죠 ㅡㅡa,2002.07.24 03:43:17
506,제로스트(211.119),합성인거 같은데.... 불이타고 있는 차인데 옆유리창은 너무나 깨끗합니다..그리고 차 바닥엔 불이 있는데 주위엔 불이 하나도 없고 불에 그림자도 없고...,2002.07.25 02:19:22
507,제로스트(211.119),그리고 마지막으로 연기 색깔이 너무 깨끗합니다..,2002.07.25 02:20:27
508,전문가(211.209),실제군요.... 합성 아닙니다...,2002.07.27 20:50:08
509,더전문가(211.208),합성이오..,2002.07.28 01:22:30
510,목격자(61.255),이사진은 사실이요 내가 직접 목격했소,2002.07.28 16:49:09
511,무한헤르쯔(211.187),"2002년 7월 28일 무한헤르쯔 왔다감.    -_-v   \""찰칵~\""",2002.07.28 19:06:53
512,=_-(211.190),심령사진인줄 알고 한참 봤음다;,2002.08.02 02:45:26
513,참나(218.53),툭하면 합성이래. 맨날 속아만 살아왔나? 아햏햏 득햏에나 신경 쓰시오,2002.08.04 03:45:47
514,합성임(211.108),아니라면 차밑에도 불이 붙었는데 저렇게 어둡다는것을 설명할수 없음,2002.08.04 19:00:25
515,차주인(211.221),내차요. 합성 아니오. 웬만큼 쓰고 소각중에 누가 한컷 찍었나보오.,2002.08.05 00:09:07
516,stila(211.211),그래서 결론은... 합성이 아닌가요? 리플들 읽어보다가.. 지겨워서 그냥 내려왔네요..,2002.08.06 17:23:55
517,제발(218.48),저 차번호 주인이 와서 한마디 해줬음 좋겠오.. 합성/비합성이 아니라 찍었냐 안찍었냐..,2002.08.09 09:14:12
518,흑백론자(211.55),합성이냐 아니냐를 따지기 전에 진짜 불난차에 합성을 동시에 한 사진이란걸 왜 생각을 못해내시죠?,2002.08.09 13:29:21
519,더워(210.117),넌 왜 개소리냐. 합성이잖아. 딱보면 보이는구만,2002.08.10 00:40:31
520,사실이오(219.241),타이어 녹은것이 보이오,2002.08.12 16:01:41
521,합성이라고(218.145),하시는분들.... 그럼 함 만들어보시죠... 만들어서 보여주오~~,2002.08.12 16:38:17
522,윤반장(210.99),본 사건은 2001년 3월 21일 오후 3시경 서울 중구에서 발생한 살인사건 입니다. 가해자 김모군은 피해자 이모씨를 차에 태워 죽이고 휘발유를 뿌려 불을 부쳤다고 진술했습니다.. 그러므로 실사,2002.08.13 10:51:03
523,이거보고(218.55),"합성이라고 우기느 ㄴ새뀌들,,,,눈깔을 합성 시켜야 한다~~",2002.08.14 17:22:53
524,ㅎ_ㅎ凸(211.191),ㅎ_ㅎ凸,2002.08.15 00:14:24
525,웃긴게..있다면..(211.117),저 위에 누군가 링크시켜놨다는거.. 그건 100%거짓말이라는거죠.. 말도 안돼는게. 그 글을 읽어보면 차에서 불이나서 잽싸게 내리고 식구들도 내리게 하고 바로 소화기로 진압을 했다는데.. 훗 말도안돼는소리죠 만약 본인이 찍었다면 불안끄고 사진찍는 미친사람이고요 주변사람이 찍었다는것도 말이 안돼는게.. 주인은 불끄려고 할텐데 거기서 \'당신비켜 사진좀 찍게\'이게 말이나 됩니까-_-? 결국 저 위에 링크된 것이 사실이라면 현대자동차에 원한맺힌사람이 다른 차 한대를 더 태우고 찍은거겠군요-_-,2002.08.16 04:56:59
526,그건(61.72),웃길 일이 아니오. 교통사고 나면 본능적으로 사진기 찾는 사람들이 있소. 혼이 빠질 지경이지만 피해 보상 받으려면 사고 당시 사진은 있어야 하니까,2002.08.23 12:01:44
527,민중의지팡이(211.195),",,으이구,,연기가 나는게 역학적으로부자연뭐어쩌고,,,한심하오, 실제로 불나는거좀 봐보오,,그런말나오나,, 이론대로되지않는게현실이오,,아무데로나 막번지고 연기 난리도아니오,, 바람이없다고 대류가없는게아니오,,케이아스도모르오?,,,그리고 연기가 희다니 뽀얗다느니 그건완전연소여야한다느니,,더한심하오, 불날때 물조금만있어도흰연기납니다, 또 일부석유화학제품들도 흰연기를냅니다,,더구나 검은연기도나고있쟎소, 허허",2002.08.23 21:18:34
528,민중의지팡이(211.195),",,그러니그런 모자란 이유로 주장은 마시고,,확대해보시구려",2002.08.23 21:21:06
529,싸이나(211.197),"맞아-_-a 모든 일이 이론으로만 통하는건 아니자나. 살다 보면 진짜 같은 합성도 있고, 합성같은 사진도 있지 뭐. 그럼 똑같은 사진 2장 겹쳐 놓고 \'이거 합성인지 맞춰 보세요\'하면 합성이라고 맞출 사람이 몇이나 되겠어요? 그리고 심령사진(...)같은 것들을 실사라고 과학적으로 증명할 사람은 몇이나 될까여?",2002.08.24 14:21:29
530,싸이나(211.197),그리고 구경꾼이 한명도 없네요-_-;;,2002.08.24 14:22:37
531,불나면(211.170),그림자 지나..?,2002.08.25 18:52:15
532,이거.(210.205),이거.글을 읽었던 기억이 납니다.어느 게시판에서. 그러고 왼쪽 헤드램프주변에 도색이 검게 그을려진것으로 봐서는 실제사진 같구요. 아주만약에 저게 합성이라면. 저런사람 잡아다가 꼭 좋은곳 보내서 공부시켜야 됩니다.,2002.08.28 09:01:35
533,Ohyung(211.221),아... 타면 어때...,2002.08.28 15:20:45
534,합성이다(218.147),불타는 부분은 다 냅두고 번호판 부분만 살짝 합성한 것 같군요. 그정도라면 아무나 할 수 있지 않을까요,2002.09.03 07:45:55
535,합성이다(218.147),합성을 했다는 것이 꼭 차와 불을 합성한거다라고 한정해서 생각해야 할 이유가 없다고 봅니다,2002.09.03 07:46:54
536,이론이론..(61.72),누가 내차 불탄거 사진찍어놨서.....,2002.09.05 17:47:24
537,이제 그만~(211.212),이제 그만하지요~,2002.09.06 17:09:16
538,사진제작자(211.59),제가 만든 거에여..ㅡㅡ; 산타페 광고사진 받아서 불과 연기를 덧붙인 후에 나뭇잎을 씌운 것입니다. 실수한게 있다면 차 밑에 불이 나는데 너무 어둡다는 점이지요.,2002.09.07 14:39:32
539,흠(211.59),"이렇게 불난차 여러대 있습니다...티비에서도 차 본네트에서 갑자기 원인모를 화재가 발생해서 소송한다느니..하면서 나오는데...물론 자동차회사는 지들 잘못아니라고 우기지만...(니들이 당하면 알꺼다)..차종도 거의 산타페 같은 차종이더군요,,,,무조건 리얼하면 합성이다라고 우기지좀 마세요..",2002.09.17 21:20:25
540,감각파(211.213),이미지 전문가는 아니자만 불과 차&배경(특히 광도)이 이질감이 나는 군요...(합성),2002.09.18 01:11:12
541,불이(61.43),"수상쩍군요.. 저건 나무를태울때 나는 전형적인 불의 모양과 색인데 말이죠.. 진짜 차 본네트와 를 태웠다면 금속성분에 의해서 화학반응에 의해 불색이 미묘하게 변하는데요.. 저렇게 순수한 붉은 색은 안나올텐데.. 예를들면 마그네슘이나, 알루미늄이 연소되는 불이 탄소가 주성분인 나무의 불과 똑같을리 없지요.. 크크...",2002.09.20 16:55:12
542,불이님..(61.82),"마그네슘, 알미늄 태울때 색깔 나오는건 알고있죠...근데..이건 휘발성 물질 종류일것 같군요...화력으로 보나...차 밑바닥에 불똥 떨어져 타고 있는 상태로 보아서...",2002.09.23 00:59:14
543,천년노승풍운거사(211.186),사진의 번호판이 거짓된 것이 아니라면... 이미 진실여부는 판명된 것이죠.. 다른 많은 그래픽기사 혹 공학도님들의 의견도 나름대로 일리있어 보이지만 그 보다 동양적인 학문을 연구한 사람의 입장에서 본다면,2002.09.23 11:08:49
544,천년노승풍운거사(211.186),번호판의 주인을 찾은후에 그 사람의 사주에 일월의 흐름과 오행의 변화이치를 사상과 육십사괘의 이치에 비추어 보고 그날 차주인의 거운을 짚어본다면.. 쉬이 알수있는 일이 아닐까 싶습니다,2002.09.23 11:11:29
545,천년노승풍운거사(211.186),무엇보다 이러한 일에 우리 많은 햏자님들이 서로가 옳다며 상대를 비하하는 등의 득햏치 못한 사태가 계속 지속되지 않기를 바랄 뿐입니다 인간이 모든진실을 알수없듯이 인간만이 할수 있는 다른것이 역시 존제하는 세상이 아니겠습니까.. 허허 그러니 모두 사념을 버리고 수햏합시다..,2002.09.23 11:14:27
546,차주에게(211.108),연락하는게 더 바람직!!!! 아햏햏하게 주장하다가 쪽팔리면 햏자가 좌절할수도 있으니...,2002.09.23 17:59:18
547,개굴이(218.232),사진을 자세히 보시면 이차가 싼타페라는것을 알수 있습니다,2002.09.24 20:46:09
548,개굴이(218.232),번호판을 확대하셔서 자세히 살펴보시면 전남 차라는것을 알수가 있군요,2002.09.24 20:46:43
549,개굴이(218.232),뒷부분 연기나는쪽을 확대하셔서 잘 살펴보시면 백도어와 조수석 문이 열린것을 알수가 있습니다,2002.09.24 20:47:39
550,나(219.240),번호판을 조회해서.. 차주인한테 물어보면.. 합성인지 진짜인지.. ㅡㅡ;;,2002.09.25 16:36:30
551,공익(211.248),"그리고 초보자도 합성의 근거는 쉽게 찾을수 있습니다. 일단 저런 화재라면 폭발로 인해 그을음이 크게 일어나야 합니다. 하지만 그에 비해 번호판이나 범퍼, 그외의 차체가 너무 깨끗합니다. 그리고 결정적인 근거는 앞부분바닥에 불이붙어서 타고 있는데요. 불이 붙으면 어느정도 밝아야 할텐데 너무 어둡습니다. 이러한 근거들을 종합해볼때 합성이 명백해지는군요. 태클환영임다.",2002.10.04 10:07:13
552,바보냐..(61.81),\'② 장안에 화재가 되고 있는 싼타페 매연관련 사진도 추가로 올림\' 이렇게 되있다..불탄사진도 올리구 화재가 되고있는 매연사진도 한장더 올렸단 뜻이다...머리나빠서 공익하나보군..ㅋㅋ,2002.10.05 11:09:48
553,차주인(211.186),근데..사실은... 제가 포샵으로 합성한겁니다. 저 취직시켜주세요~,2002.10.05 23:48:10
554,skeptics(61.73),합성입니다. 저렇게 밝은 대낮에는 불길이 뚜렷하게 보이지 않습니다.,2002.10.09 21:45:06
555,차주인앤(211.202),낮에 불길 잘보여요. 미켈란 불탈때 장난아녔음. 저거 합성 아닌데. 먼가를 위해 방화한듯싶어요. 문을 일부러 다 열어놓았네요.,2002.10.11 01:57:15
556,assel(211.228),포샵고수들 여기 다 모이셨네.. 진짜 합성이라구 해두..본인은..합성이니 아니니.별관심없음..  전부..다 저정도야 나도한다~ 이분위기니 원..-_- 포샵 수햏을 하고 있는 본인으로선..평생가두 못할꺼 같은디...;;,2002.10.16 23:17:40
557,viva(61.254),고만 하고 차주한테 직접 물어보면 될것을...  번호판도 깨끗하구만...,2002.11.16 01:36:11
558,은이(218.153),"귤님이 링크해준 주소로 가보세요. 사진 주인이 올린 원본사진 있고, 실제상황입니다.",2002.12.12 04:43:54
559,ㅇㅇ(211.198),일단 119 불러요.-_-,2003.01.01 01:34:41
560,합성입니다..(211.195),라고 누가그래 가 아닌 것이란건 어떻게 증명할껀지 궁금한것이 아니고 란말은 믿기 힘들것입니다...,2003.01.07 15:04:15
561,123124213(218.235),아 본네트에 불붙엇다하는사람 뭐요-_- 본네트가아니고 앞에 공기들어가는곳으로 불길이나오는거잖소!!,2003.01.12 20:23:41
562,결단(211.104),최종적으로 저거 누가 찍은 사진인가요?,2003.01.16 03:01:10
563,레이비(211.215),저게 합성이라면 합성한 사람은 ILM에서 바로 스카웃 해가겠군.,2003.01.18 15:04:02
564,쩝...(220.79),저거 진짜라구 판명 났어여.. 저 차주인 현대랑 대판싸우고 있는중..,2003.01.18 15:26:49
565,흠(64.229),네 합성 맞습니다. 맞구요.. 아니 근데... 장안에 화재가 되고있는 불타는싼타페 사진도 추가로 올렸다고 분명히 되어있는데 왜 자꾸들 -_-;,2003.01.22 12:22:26
566,헛소리마라(211.218),저건 중성이다.. 참고로  난 지성..  님들은 산성이다..ㅎㅎㅎ,2003.01.26 09:42:01
567,ㅇㅋ(211.207),합성이라고 우기는 난척햏자들의 이유를 들어보면 하나 같이 물리적 근거를 대는 듯이 말을 하고 있소.. 하지만 불에 관해서는 아주 우스운 근거만 들고 있구려.. 옛날부터 불장난이라면 미치는 본햏은 그들이 너무도 우습소.. 불장난이나 쳐보지도 못한 햏자들이여.. 난척 좀 그만하라..,2003.01.26 23:49:04
568,음음음(220.72),근데 유리에 불이 붙나요?,2003.01.27 15:28:39
569,음..(203.231),번호판 보고 신고 해보시오 그럼 알꺼아닌가...,2003.01.31 03:50:19
570,꼴등(211.225),실패돌렸소,2003.01.31 05:27:06
571,SMG II(211.240),모든 논란의 종지부를...해당 차량 번호 조회해보았습니다. 01년7월 1천1백만원 보험금이 삼성화재로 부터 지급되었으며 당시 차주는 김성*씨로 밝혀졌습니다. 위 사진은 진실 입니다.,2003.02.03 18:48:00
572,當_當(211.108),자동차 번호판 조회 결과 폐차되었소.,2003.02.05 11:47:04
573,모햏(218.53),합성이라는 햏자들 비슷하게 만들어 올리시오,2003.02.06 07:36:22
574,킁(220.88),차가 너무 깨끗하잖아...너무 아깝다...아이 아까워라..감기걸렸어요.,2003.02.06 13:46:54
575,갈수록(220.74),그래서 합성이라는거야 아니라는거야 임미 후까시만 주고 결론은 안내네 개새키들,2003.02.08 01:24:14
576,무식이아들(211.171),합성이라는 햏자들...나도 저정도는 만든다는 사람들...어찌 1년반이 지나도록 만들어따 자 보시오...하는 인간이 업ㅂ네..주차뿔라..,2003.02.08 14:17:15
577,저거(67.85),저거 내가 찍은건데 합성 아네여 ㅡㅡ;; 다들 신났네,2003.02.10 00:25:22
578,이거(218.53),이거 합성아닙니다. 옛날에 신문에 낫던 사진. 산타페 리콜할때였나?,2003.02.13 14:06:35
579,난알아(211.192),100%합성 실제라면 불가능하지...고수면 저정도 합성은 식은죽먹기,2003.02.13 14:08:19
580,난알아(211.192),그리고 위에글..태클좀 겁시다!합성이라고 했을뿐 글쓴 본인들이 고수라고는 하지 않았소..그런데 일년반이 지나도록 안만들어 온다라니..말이 안되잖소..고수면 저렇게 만들수도 있다고 했지..본인이 고수에다가 만들어 오겠다는 말은 안했으니..억지 부리지 마시오..그리고 합성 분명하오,2003.02.13 14:12:20
581,합성맨(211.40),합성이군요.. 포토샵에서 블루채널 보세요... 불 붙은부분만 명도100%픽셀이 있네요.. 꼭 측정하지 않더라도 불붙은부분만 어색하게 검게 보이는 군요..,2003.02.14 17:53:35
582,결론:(211.212),합성아님.  +ㅁ+번쩍!!,2003.02.15 00:58:37
583,합성아냐(218.149),"꼭 어설프게 배운것들이 합성이라고 우기는군,. 실제 자동차엔진타진것 보면 엔진 블록 녹아질만큼 타도 타이어는 멀쩡한경우가 많단다. 앞유리도 멀쩡한 경우도.. 가끔있고. 아는것도 없는것들이 나불대기는",2003.02.15 23:24:49
584,합성아냐(218.149),대충보니 주위상황보고 합성이라고 우기는 어설픈넘들이 많은데 좀 깝치지좀 마라. 엉?,2003.02.15 23:26:20
585,전남도지사(218.51),결론 내겠습니다. 전남 33 다 9668 차량 조회 결과 불탄거 맞습니다.,2003.02.16 00:58:57
586,김학도(218.144),불탄거 보면 행복하십니까? 살림살이 좀 나아지겠습니까? 합성의 바람이 불고 있습니다. 합성 3회 금지 조항을 만들겠습니다. 하라는 합성은 하지 않고 비방하는 거 보십시오.,2003.02.18 05:56:02
587,juny(211.181),...차 타는거 한번이라도 보고 이러쿵저러쿵 하는걸까..,2003.02.19 18:21:20
588,아싸~(211.113),300등-_-;;;,2003.02.19 21:42:14
589,301등(61.78),합성아닌것같구만....불이 본넷 속에서 나고있는거니 왼쪽 라이트부분이 검게 타버린거고..내가보기엔진짜!한표,2003.02.22 09:08:18
590,Maximum(211.194),진짜오. 이차 주인 지금 현대차하고 소송중에 있소.,2003.02.24 10:56:59
591,가르(211.108),전부다 불을 합성해서 붙엿다고 생각들 하시는데 소송걸기위해 범버와 번호판을 합성한듯.~ ㅋ,2003.03.04 19:55:21
592,지원자(203.252),딱 보니까 합성아니구먼... 한심한 놈들.,2003.03.07 14:30:58
593,전주(211.230),바퀴가 본트카바퀴요..진작에 터졌어야 할것을....옥의티가 있소...,2003.03.12 19:50:17
594,겐조(218.234),"결론. 합성이라고 주장하고 싶다면, 그 합성하는 방법을 쌔워라.",2003.04.02 20:38:52
595,합성맞아(218.52),뱅신들아 좆도 눈까리는 악세사리?대가리는 옵션?,2003.04.03 23:45:05
596,쾤쾥5(218.236),쾥자 여러분 진정하시스세소시세쇄소이다.,2003.04.06 13:03:18
597,ㅎㅎㅎ(211.211),이거 합성입니다. 불이 나면 공기의 대류때문에 더운기체가 위로 올라 갑니다.  그러면 불길 위에 연기말고 아지랑이 같은게 찍혀야 되는데 안찍혀 있네요 . . . 합성이라고 추측,2003.04.13 20:50:47
598,합성마자요(211.51),차량 어느곳에서 사람이 없고 ㅡ.ㅡ.. 불이 하군데도 비치지 않네요,2003.04.14 15:56:48
599,보험회사직원(210.217),"합성아님 2001년7월31일사고로 삼성화재에서\\11,167,500원 보상함--사고종결땡",2003.04.17 17:51:31
600,찍은넘(210.219),...놀구덜 있넹...,2001.11.08 05:30:58
601,자동차과(61.80),합성같은데요 차앞의 후렌다 부분요 페인트에 불이 붙어도 저렇게 시커멓게 타지는 않을껀데.. 그을림정도면  몰라도..하여튼 약간 리터칭 작업은 한듯 보이네요,2001.11.08 14:31:32
602,스티븐(168.188),토마스~ 아빠차에 불지르면 혼난다고 했을텐데~!! 하지만 아빠는 널 사랑한단다.,2001.11.08 15:12:47
603,YJN(61.74),합성아녜요.. 저건... 저걸 감쪽같이 합성할만한 사람 없어요..  옆에 타서 누렇게 바래있는걸 좀 보세요,2001.11.08 15:56:42
604,민이(211.36),"보시면 아시겠지만, 나뭇잎에 불길에 반사된 붉은 색소가 꽤 보입니다. 그것도 합성이라고 보기엔 너무 자연스러운... 아시다시피 나뭇잎은 녹색입니다. 붉은 색소가 없다고 봐도 무관한데, 저렇게 불에 반사되듯이 나온 것은... 머랄까... 합성이라고 보기엔 많이 어렵지 않을까 싶구요... 또, 건너편 차의 바퀴 휠을 보면 또, 은색에서 붉은 색소가 나올리가 없는데... 음... 차의 색깔에 반사된 것이 보인 것일 수도 있습니다. 처음부터 결론을 내리지 않고 분석해보았는데.. 에... 정말로 개인적인 생각과, 그래픽디자인경력 5년차의 경험으로 본다면... 합성이라고 보기에는 무리가 있는 것 같네요... 차 범퍼에 있는 쇠... 머라그러죠? 거기에 비친 붉은 색소나.. 머... 차문을 보면, 자세히 보시게 되면,",2001.11.08 19:41:45
605,민이(211.36),"집중적으로 붉은 색소가 몰려 있는데, 이 부분은 위의 원본사진에서도 자세히 보면 보입니다. 불이 반사된 부분이...",2001.11.08 19:42:24
606,민이(211.36),"제 생각은 이렇습니다. 누가 합성을 했다한들 엄청나게 실력이 있는 사람이고, 누군가 이렇게까지 분석하려 한 걸 알고 보이지도 않는 어두운 부분(나뭇잎부분)에까지 아주 약간이나마 붉은 색소를 넣어 붉은기만을 골라냈을 때에 대비했다.... ? 음... 차의 타는 모습, 불이 있는 바로 아래에 있는 그림자 등을 생각 못한 사람이 과연 그런 것까지 신경을 썼을까요? 제 생각엔 여러부분에서 보이는 약간은 합성같은 부분들은 실제로 그럴수도 있겠다... 싶은 부분들이고..",2001.11.08 19:44:44
607,민이(211.36),"또, 실상 합성이라 한들, 이렇게까지 모든 부분에 신경을 썼다면 ... 그건 진짜라고 봐줘야할 정도네요... 그리고, 또 개인적인 의견인데... 이 정도 화면을 만들어낼 정도라면... 그냥 차 한 대 태워버리는 편이 쉽겠네요...",2001.11.08 19:45:44
608,민이(211.36),"참고로 확대해서 봤을 때 합성같이 보이는 현상은, JPEG 포멧의 공통점입니다. 어떤 JPG 사진을 확대해서 보아도, 블럭이 느껴지고, 세밀한 부분은 세밀하고, 블럭인 부분은 블럭인 것은, 압축방식에서 오는 현상일 뿐, 원본이 합성이냐 아니냐를 가늠하긴 힘들 것 같네요..",2001.11.08 19:47:14
