,닉네임,댓글,날짜
78,ㅇㅇ(180.68),ㅋㅋㅋㅋㅋ글 ㅈㄴ웃긴네 ㅋㅋㅋㅋㅋ,2019.09.26 01:29:43
79,ㅇ(121.186),ㅇㅇ,2020.01.11 18:59:44
80,ㅇㅇ(175.223),갖다 놓았을까,2020.01.31 23:04:43
81,ㅇㅇ(112.167),캬 연상호 감독이 이 소재로 극본 써서 tvN 드라마 방송한다,2020.02.07 23:33:35
82,1a1a(121.162),드라마 개봉 기념 성지순례....,2020.02.11 11:16:29
83,ㅉㅁ쁘깅 ,방법 할매,2020.02.29 12:24:11
84,ㅇㅇ(61.255),성지 순례,2020.04.30 21:38:20
85,ㅇㅇ(121.182),비트코인 대박나게 해주세요,2020.06.10 10:45:39
86,ㅇㅇ(58.224),고려대학교 21학번 식공과 붙게 해 주세요,2020.06.18 23:42:31
87,성지순례자(219.249),성지순례지순례성순례성지례성지순,2020.06.20 11:45:06
88,ㅇㅇ(58.122),방법좌...,2020.09.30 01:22:00
89,ㅇㅊㅇ(220.118),성지 순례왔습니다.올해 제발 성우시험 합격하게 해주세요,2021.01.22 07:02:15
90,ㅇㅇ(218.54),제 인생에 길이 찾아오길,2021.08.14 22:01:05
91,ㅇㅇ(180.67),노무현,2021.12.16 21:37:58
92,ㅇㅇ(220.120),흑역사 지우고 조용히 살 수 있게 과거로 돌아가게 해주세요,2022.01.17 20:43:39
93,ㅇㅇ(118.223),반 편성 잘 되게 해주세요,2022.01.27 16:38:03
94,ㅇㅇ(14.39),급,2022.02.02 20:30:02
95,반죽 ,유적탐방,2022.06.20 10:42:28
96,ㅇㅇ(121.184),기대하는 게임이 잘되게 해주세요...,2022.07.30 12:51:49
97,ㅇㅇ(175.205),올해는 취업하게 해주세요....,2022.08.05 21:36:20
98,ㅇㅇ(110.9),근대한국어 근대시가 배우는 느낌이다. ㄷㄷ깔고 안진 나이록 / 방석 갓다 노라 / 안갓다 노면 / 방법 한다,2022.12.17 15:12:20
99,ㅎㅇ(211.245),방법 하고 싶은 놈이 한 둘이 아니다ㅇㅇㅁㄱㅇㅂㅇㄱㅎㄱㅂㅇㅁㅈㅇ,02.03 17:27:28
100,의정부인(121.132),☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★☆★☆★감동의 성지순례☆★☆★,2008.05.06 22:19:11
101,오렌지우비 ,와~ 이것도 원본이네...... 이래서 사람들이 성지 순례를 하는구나... 감동 감동 ㅠㅠ,2008.06.07 02:19:34
102,오냐 ,성지순례 방법한다,2008.06.12 19:06:06
103,하겐크로이츠 ,성지군하..,2008.06.19 18:46:21
104,빨간똥침 ,성지순례,2008.07.14 08:51:57
105,죽스프 ,뚫훍뚫훍 따다다,2008.07.26 03:21:20
106,후(219.248),성지순례,2008.07.29 20:33:30
107,므흐흐(219.241),유적지는 탐방하는게 제맛,2008.08.02 03:40:58
108,개그네(118.47),새벽3시 36분 탐방중,2008.08.19 03:36:50
109,ㅇ(121.185),"방법한다, 손발리 오그라진다의 명언이 여기서 탄생한것... 진정한 성지......",2008.09.13 14:37:42
110,성지순대(210.122),성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대성지순대,2008.10.10 13:53:01
111,으허헣엏 ,성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례 성지순례,2008.11.18 20:31:58
